Applicant's name,Applicant's date of birth,Applicant's contact information,Social Security Number,Loan or insurance policy type,Loan or policy amount,Application date,Application source,Income details,Credit score or credit history,Outstanding debts or liabilities,Identification documents,Employment verification documents,Income verification documents,Details about co-applicants,Property details,Vehicle details,Other asset details,Previous insurance claims history,Previous loan applications or approvals,Geographical data,Risk scores or flags assigned during initial risk assessment,Fraud Indicators,Decision or Outcome,Notes or Comments
Lisa Castro,1958-07-29,"757 Tammy Plaza Apt. 595
Whiteside, OR 89531",,Mortgage,22013,2022-10-29 06:36:57,Online,591726,726,91773,Passport,Pay Stub,Tax Return,Child,Single-Family Home,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Approved,Those sport range hope.
Ryan Luna,1966-07-17,"6849 Cruz Mountains Apt. 683
Jenningsburgh, ID 12296",066-73-1970,Mortgage,3873,2020-09-29 07:12:05,Online,161200,566,7170,Passport,Pay Stub,Tax Return,None,Condo,SUV,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Spend woman standard price truth west water.
Michael Smith,1962-02-25,"9509 Thomas Unions
Nicolefurt, UT 08040",177-41-7753,Mortgage,66378,2022-07-08 15:04:09,Online,396344,407,82049,Driver's License,Letter of Employment,Bank Statements,None,Condo,SUV,Stocks,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Denied,Ago by ground.
Renee Cuevas,1985-09-05,"7371 Blake Crossroad
Lake Samanthastad, AS 29538",635-59-4545,Mortgage,28861,2023-03-21 10:50:25,In-Person,258107,326,4787,Driver's License,Pay Stub,Bank Statements,Child,Condo,SUV,Stocks,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Denied,Our present each bank special most.
Virginia Simpson,1978-07-19,"17056 Thomas Keys Apt. 953
Port Jamie, MP 97425",288-19-9583,Auto Loan,53694,2022-10-28 18:38:38,Online,231568,543,67761,Passport,Letter of Employment,Bank Statements,None,Apartment,Sedan,Jewelry,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Denied,Few throw environmental realize look early best positive.
Mark Rodriguez,1995-02-11,"954 Freeman Turnpike Apt. 737
New Andrew, CT 74361",650-18-2177,Mortgage,65954,2022-03-21 22:58:11,In-Person,149072,637,38625,Passport,Pay Stub,Tax Return,Spouse,Apartment,SUV,Artwork,Previous Claims,No Applications,High Risk Area,High Risk,No Indicators,Denied,Lay expert debate national.
Timothy Hall,1967-02-16,"9745 Turner Drive Suite 239
West Scottland, MO 51020",,Auto Loan,78487,2020-08-13 13:07:41,In-Person,374841,424,81218,Passport,Pay Stub,Bank Statements,Spouse,Apartment,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Denied,Purpose true share newspaper positive model.
Nicole Macias,1993-09-02,"91406 Mills Harbor Apt. 605
New Christopherton, CT 02839",841-58-3169,Mortgage,48535,2022-08-22 11:53:36,Online,131809,586,77142,Driver's License,Pay Stub,Bank Statements,Spouse,Single-Family Home,SUV,Jewelry,Previous Claims,Previous Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Attack sound television.
Erica White,1971-09-12,"382 Gomez Garden
Johnnymouth, ND 10261",,Mortgage,60004,2021-03-23 23:41:01,In-Person,954621,798,16401,Passport,Pay Stub,Tax Return,Spouse,Single-Family Home,SUV,Artwork,Previous Claims,No Applications,High Risk Area,High Risk,No Indicators,Denied,From fine skill.
Ethan Carey,1960-10-04,"72863 Ellis Ways Suite 855
Port John, WY 82873",,Life Insurance,5957,2023-06-23 21:59:24,Online,610573,395,74516,Driver's License,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Truck,Stocks,No Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Establish when rate manage employee tough term.
Sarah Martinez,1976-02-21,"16964 Carter Wells Suite 791
New Reneeshire, PR 72673",691-97-9930,Mortgage,50137,2022-03-11 14:19:34,Online,632112,736,74412,Driver's License,Pay Stub,Bank Statements,Spouse,Condo,Sedan,Artwork,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Denied,Enjoy provide herself ago girl decide.
Ruth Howell,1985-02-25,"977 David Villages Apt. 115
Veronicaton, VT 77793",,Life Insurance,6192,2023-09-30 16:47:33,In-Person,214008,597,60060,Passport,Pay Stub,Bank Statements,Child,Condo,SUV,Stocks,No Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Further Investigation,Foot side new.
Sherry Bell,2003-09-23,"0019 Ann Falls Apt. 004
Juarezfurt, SC 29313",651-99-2122,Mortgage,17791,2021-01-20 01:38:21,In-Person,633444,589,26854,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Personal unit garden although war across.
Edward Dorsey,1985-10-20,"044 Barton Isle Apt. 340
East Danielville, MT 14040",,Mortgage,87309,2020-01-30 03:26:41,Online,76524,602,88009,Passport,Letter of Employment,Bank Statements,None,Apartment,Sedan,Stocks,No Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Teacher tough particular my expect most field.
Meagan Morales,1987-12-04,"USS Kim
FPO AP 82867",,Mortgage,45409,2022-08-19 02:37:23,In-Person,461879,765,14984,Passport,Pay Stub,Tax Return,None,Condo,SUV,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Large stock teacher goal pay about.
Robert Sullivan,1980-05-05,"56344 Taylor Squares Apt. 875
Sarahville, TX 59505",373-74-4655,Mortgage,90591,2021-06-25 16:33:37,In-Person,827819,676,5805,Passport,Pay Stub,Bank Statements,Spouse,Condo,SUV,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,No Indicators,Approved,There few best author whose.
Caroline Nguyen,1980-02-05,"722 Thompson Island
Lisamouth, OK 87386",,Auto Loan,17642,2021-02-01 17:38:26,Online,753253,568,70609,Passport,Pay Stub,Tax Return,Child,Single-Family Home,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,High Risk,No Indicators,Approved,Too conference degree.
Stacy Cooper,2003-10-22,"5120 Sosa Mountains Apt. 323
Sandershaven, PA 92814",,Mortgage,87276,2020-06-23 15:52:57,Online,862476,649,60590,Driver's License,Pay Stub,Tax Return,Spouse,Single-Family Home,SUV,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Detail fact century.
Kayla Mills,1979-05-28,"548 Nicole Falls Suite 260
Pedrostad, ID 56979",,Auto Loan,40258,2023-05-07 10:31:22,Online,861562,317,62593,Driver's License,Pay Stub,Bank Statements,Spouse,Condo,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Daughter first film affect book stand view.
Stephanie Silva,1966-04-14,"6600 Jennifer Valley Apt. 351
North Philip, GA 99207",349-96-3501,Life Insurance,97739,2022-04-13 15:25:33,In-Person,749059,635,17514,Passport,Pay Stub,Bank Statements,None,Single-Family Home,Truck,Stocks,No Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Floor develop too page campaign.
Jasmine White,1977-02-05,"7692 Ball Street Suite 215
New Pam, GA 31874",662-46-1234,Auto Loan,83834,2021-02-14 12:06:47,In-Person,661131,622,45596,Passport,Pay Stub,Tax Return,Child,Condo,Sedan,Artwork,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Approved,Country off participant treat brother make create.
Heather Ferguson,1962-01-17,"92212 David Parks
New James, CA 49426",802-10-0498,Auto Loan,87009,2021-09-11 03:33:40,Online,742232,630,70972,Passport,Letter of Employment,Bank Statements,Child,Condo,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Denied,Station find nice somebody board small well.
Matthew Jenkins,1992-03-23,"210 Evans Green
Shawnview, VA 46914",452-53-0085,Auto Loan,27919,2023-05-15 14:54:18,In-Person,401297,345,35331,Passport,Letter of Employment,Tax Return,Spouse,Single-Family Home,Truck,Stocks,No Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Further Investigation,Without understand open parent religious guess.
Susan Chandler,1985-07-18,"71569 Cardenas Street
Sheppardberg, ID 17007",037-61-7894,Life Insurance,35624,2022-12-24 07:02:42,Online,490116,786,77437,Passport,Letter of Employment,Bank Statements,Child,Condo,Truck,Jewelry,Previous Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Approved,Agreement whether area agree heart.
Nancy Cowan,1960-09-13,"PSC 6329, Box 4376
APO AP 70158",,Life Insurance,99625,2023-03-26 05:44:54,Online,918057,474,5120,Driver's License,Pay Stub,Tax Return,Child,Condo,SUV,Stocks,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Go themselves campaign trial us better.
Monica Adkins,1978-03-07,"961 Sarah Knolls Suite 076
Jenniferfort, GA 97858",645-01-4742,Mortgage,37993,2022-01-12 14:17:08,Online,460316,317,74233,Passport,Pay Stub,Tax Return,None,Single-Family Home,Sedan,Stocks,No Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Play test agree agreement shake area nearly.
Tammy Mcdowell,1989-12-15,"4761 Richardson Ranch
Whitemouth, MA 21996",548-07-6689,Auto Loan,47203,2023-10-01 12:10:05,Online,264077,616,42955,Driver's License,Pay Stub,Tax Return,Child,Condo,Sedan,Stocks,Previous Claims,No Applications,Low Risk Area,High Risk,Red Flags,Approved,Cover hand although study site particularly person where.
Melissa Rodriguez,1955-12-10,"871 Hunt Locks Suite 755
West Kelly, KS 28026",347-04-2558,Auto Loan,63262,2020-02-05 11:32:32,In-Person,730439,633,41878,Passport,Pay Stub,Bank Statements,Spouse,Condo,Sedan,Stocks,No Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Further Investigation,Soon own beautiful everything around.
Brian Franklin,1976-11-05,"89813 Jessica Mission Apt. 471
West Brandiport, WV 40199",,Mortgage,2205,2020-08-20 14:17:27,In-Person,962391,547,4725,Passport,Letter of Employment,Bank Statements,Spouse,Condo,Sedan,Jewelry,Previous Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Further Investigation,Property project scene everything.
Eric Gray,1982-10-07,"84564 Hansen Creek
Hickmanton, MP 11220",356-57-3826,Auto Loan,80602,2021-09-30 19:03:46,Online,772182,304,61242,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,SUV,Stocks,Previous Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Approved,This bed pretty begin last where accept.
Joseph Kelly,1998-12-22,"09115 White Harbors
East Ernest, NC 54146",618-73-7570,Life Insurance,19901,2020-01-01 12:51:46,In-Person,388879,475,61712,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Denied,Ready place stay explain.
Jodi Sweeney,1956-05-18,"63968 Thomas Branch
Arellanochester, HI 18091",,Mortgage,4577,2021-11-30 10:12:35,Online,183790,471,47635,Passport,Pay Stub,Bank Statements,None,Apartment,SUV,Stocks,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Denied,Expect room ever.
Leah Martin,1983-02-16,"818 Jacob Greens
New Samuel, IL 12615",,Life Insurance,17518,2022-12-28 21:08:32,Online,136496,646,15563,Driver's License,Pay Stub,Bank Statements,Child,Apartment,Sedan,Artwork,Previous Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Denied,Talk break leader low key radio.
Dr. Jennifer Henry,1998-08-25,"11029 Perkins Ranch
Ortizview, MD 42203",,Life Insurance,48935,2022-12-27 13:31:28,In-Person,624583,720,63872,Driver's License,Letter of Employment,Bank Statements,None,Condo,SUV,Jewelry,Previous Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Approved,Our in blue during foreign.
Robert Benitez,1957-05-06,"USCGC Moore
FPO AP 91040",,Auto Loan,69778,2022-12-01 16:52:11,Online,42069,655,94909,Passport,Pay Stub,Bank Statements,None,Condo,Sedan,Stocks,Previous Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Approved,Miss brother on movement.
Robert Santos,1964-06-16,"2350 Debra Path Suite 846
Kathyville, WA 35694",,Auto Loan,78274,2021-03-19 12:15:42,In-Person,92270,569,8074,Driver's License,Pay Stub,Bank Statements,None,Apartment,SUV,Artwork,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Film decide bring beautiful knowledge voice data.
James Martinez,1975-01-23,"3582 Michelle Inlet
Toddtown, NC 04185",,Auto Loan,14949,2023-06-01 12:11:49,Online,222435,479,83691,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,Sedan,Artwork,No Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Denied,Say sense produce.
Jennifer Thompson,2001-01-05,"020 Stanley Circles Apt. 687
Suemouth, NC 84010",,Mortgage,95335,2022-05-30 15:16:02,Online,277283,823,64470,Driver's License,Pay Stub,Tax Return,Child,Single-Family Home,SUV,Artwork,No Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Further Investigation,Send surface could real.
Robert Swanson,2000-06-05,"48302 Anthony Creek Apt. 756
Jameschester, SC 03780",,Life Insurance,55707,2023-01-19 04:17:34,Online,902317,595,33185,Driver's License,Pay Stub,Tax Return,Spouse,Condo,Truck,Stocks,No Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Impact nature argue point prove.
Michael Durham,1971-03-04,"53362 Mitchell Corners
Ryanton, NY 55316",602-86-5132,Life Insurance,60316,2022-08-10 20:20:42,In-Person,815585,638,57672,Passport,Pay Stub,Tax Return,None,Condo,Sedan,Artwork,Previous Claims,Previous Applications,High Risk Area,Low Risk,Red Flags,Denied,Court low forward rest leader building.
Kerry Golden,1969-08-29,"PSC 5046, Box 9066
APO AA 12488",697-78-9658,Mortgage,25338,2022-11-01 14:36:32,Online,913182,698,11134,Passport,Letter of Employment,Bank Statements,None,Apartment,SUV,Artwork,No Claims,No Applications,High Risk Area,High Risk,No Indicators,Approved,Picture we yeah eight wide.
Richard Hernandez,1981-02-24,"198 Andrew Mill Suite 425
Port Williamview, GU 94691",,Auto Loan,43290,2021-01-02 06:18:31,In-Person,540336,675,28030,Passport,Pay Stub,Tax Return,Spouse,Apartment,SUV,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Agreement world artist ten entire difference mean.
William Alexander,1991-04-08,"72390 Brown Springs
Lake Paulahaven, CO 27969",,Life Insurance,70117,2020-05-02 17:38:03,Online,32877,386,75121,Passport,Letter of Employment,Bank Statements,None,Single-Family Home,Sedan,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Further Investigation,Production scientist statement drive.
Alex Perez,1984-06-29,"93378 Tina Tunnel Suite 495
Colinberg, CT 78057",,Mortgage,11144,2020-10-23 12:06:55,Online,210111,454,55614,Driver's License,Letter of Employment,Tax Return,Child,Apartment,Truck,Stocks,No Claims,Previous Applications,High Risk Area,High Risk,Red Flags,Denied,My they indicate soldier ahead pass right.
Amanda Green,2004-10-17,"9879 Sutton Green
East William, OR 81126",555-09-6628,Mortgage,80869,2020-12-07 19:43:29,Online,62403,664,1847,Passport,Pay Stub,Tax Return,Spouse,Single-Family Home,SUV,Artwork,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Approved,Create explain husband street.
Victoria Walsh,1992-10-09,"426 Felicia Lodge
East Faithview, LA 32046",017-15-5803,Mortgage,69659,2021-07-01 00:58:34,In-Person,174514,674,95371,Passport,Pay Stub,Bank Statements,None,Apartment,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Denied,Respond investment him.
Blake Clark,1998-03-10,"363 Jessica Fort Suite 752
Juarezstad, TN 39225",,Life Insurance,34224,2021-11-08 14:24:31,In-Person,554543,399,76929,Passport,Letter of Employment,Bank Statements,None,Condo,Truck,Jewelry,Previous Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Peace trade whole else occur.
Michelle Cruz,1974-10-18,"8185 Randolph Overpass Suite 271
Stevenville, VT 63208",,Auto Loan,36262,2021-05-22 10:28:47,Online,254261,615,1958,Passport,Letter of Employment,Bank Statements,Child,Apartment,Truck,Artwork,No Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,In try hospital range analysis measure.
Michelle Foster,1984-01-02,"PSC 1514, Box 3357
APO AP 49388",,Life Insurance,59235,2020-09-12 06:03:28,Online,235958,657,17007,Passport,Letter of Employment,Tax Return,Spouse,Condo,Truck,Stocks,No Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Approved,During eat that so after.
Debra Thomas,1962-10-12,"Unit 5766 Box 4272
DPO AA 76693",,Auto Loan,89361,2022-01-13 03:18:06,Online,323497,611,9237,Passport,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,Low Risk,Red Flags,Approved,Return reach life read dinner sense try.
Brian Owens,1979-02-22,"343 Darren Via
West Jerryborough, AK 01231",,Mortgage,1119,2022-09-26 02:20:16,In-Person,72662,812,81365,Driver's License,Pay Stub,Tax Return,Child,Condo,Sedan,Jewelry,No Claims,No Applications,Low Risk Area,High Risk,No Indicators,Further Investigation,Try already step in social city event.
Erika Graham,1996-05-16,"9887 Hammond Flats Apt. 178
Tinaside, NC 80789",,Mortgage,96791,2020-08-12 05:46:03,In-Person,926045,333,7479,Passport,Pay Stub,Tax Return,Spouse,Apartment,Sedan,Jewelry,Previous Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Before threat exist fact.
Shannon Michael,1960-07-29,"0284 Turner Ridge Apt. 671
Anthonymouth, FL 07811",061-29-8320,Mortgage,53296,2021-09-18 12:56:07,In-Person,538484,761,19878,Driver's License,Pay Stub,Tax Return,None,Apartment,Sedan,Artwork,Previous Claims,Previous Applications,High Risk Area,High Risk,No Indicators,Denied,Beat though compare bed will movement cover.
Alexandria Mccoy,1981-11-27,"985 Carroll Circle
South Emily, CO 64862",473-12-5690,Mortgage,14278,2022-02-25 19:38:15,In-Person,827224,606,2508,Driver's License,Pay Stub,Tax Return,None,Condo,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Denied,Religious write city within cost past source.
Dana Martinez,1974-12-22,"2475 Gary Oval Suite 849
Port Brenda, AZ 71764",,Auto Loan,65624,2021-05-26 19:44:13,Online,599896,590,63641,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,SUV,Stocks,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Fire no matter level.
